document,question
02-vector-search/lessons/03-embeddings-dataset.md,How many embedding vectors do you get from the FAQ dataset in this lesson?
02-vector-search/lessons/03-embeddings-dataset.md,What shape does the final NumPy array have after you stack all the embeddings together?
02-vector-search/lessons/04-vector-search.md,How does vector search find the best document for a user question?
02-vector-search/lessons/04-vector-search.md,Why is using a matrix dot product faster than looping over each embedding one by one?
02-vector-search/lessons/04-vector-search.md,How do you get the single most similar FAQ entry from the similarity scores?
02-vector-search/lessons/04-vector-search.md,What is the easiest way to extract the top 5 matches instead of only the best one?
02-vector-search/lessons/04-vector-search.md,Why does the lesson send several top results to the LLM instead of just the highest-scoring document?
02-vector-search/lessons/05-minsearch-vector.md,How do you use minsearch for vector search instead of writing the numpy dot-product code yourself?
02-vector-search/lessons/05-minsearch-vector.md,What do you need to pass when creating a VectorSearch index with minsearch?
02-vector-search/lessons/05-minsearch-vector.md,How does minsearch search for the closest matches to a query vector?
02-vector-search/lessons/05-minsearch-vector.md,"Can you limit vector search results to just one course, and if so how?"
02-vector-search/lessons/05-minsearch-vector.md,What kind of result should you expect for the query about joining the course late?
02-vector-search/lessons/06-rag-vector.md,How do you change a RAG pipeline from keyword lookup to vector search without rewriting everything?
02-vector-search/lessons/06-rag-vector.md,Why does the vector-search version need to turn the question into an embedding before searching?
02-vector-search/lessons/06-rag-vector.md,What extra thing does the vector-based RAG subclass take in its constructor?
02-vector-search/lessons/06-rag-vector.md,How do you use the helper class from the earlier RAG module and override only the search part?
02-vector-search/lessons/06-rag-vector.md,Why can vector search answer reworded questions better than plain text matching?
02-vector-search/lessons/07-sqlitesearch-vector.md,"What are the main drawbacks of using minsearch for vector search in this lesson, and why do they become a problem as the dataset gets bigger?"
02-vector-search/lessons/07-sqlitesearch-vector.md,How is approximate nearest neighbor search different from exact nearest neighbor search when you look for similar documents?
02-vector-search/lessons/07-sqlitesearch-vector.md,"What does sqlitesearch give you for vector search that minsearch does not, and how does it store the data?"
02-vector-search/lessons/07-sqlitesearch-vector.md,"Which vector-search modes does sqlitesearch support, and when would you use lsh, ivf, or hnsw?"
02-vector-search/lessons/07-sqlitesearch-vector.md,How do you use a saved sqlitesearch index later in a new session or inside a RAG setup without rebuilding the embeddings?
02-vector-search/lessons/08-pgvector.md,How do you set up Postgres with pgvector in Docker so the data keeps after restarts?
02-vector-search/lessons/08-pgvector.md,"What Python library do you use to connect to Postgres here, and how is it different from psycopg2?"
02-vector-search/lessons/08-pgvector.md,"How are the FAQ rows and their embeddings stored in the database, and what does the 384-dimensional vector column mean?"
02-vector-search/lessons/08-pgvector.md,"How does the search query find the closest matches, and what does the <=> operator measure?"
02-vector-search/lessons/08-pgvector.md,When would you choose PGVector over the earlier search options like minsearch or sqlitesearch?
02-vector-search/lessons/09-onnx-embedder.md,Why would I use ONNX Runtime for embeddings instead of sentence-transformers in production?
02-vector-search/lessons/09-onnx-embedder.md,How much smaller is the environment when you switch from PyTorch-based sentence-transformers to ONNX Runtime?
02-vector-search/lessons/09-onnx-embedder.md,"What packages do I actually need at runtime for the ONNX embedder project, and which ones are just for downloading the model?"
02-vector-search/lessons/09-onnx-embedder.md,What does the ONNX embedder do internally before it returns a vector from text?
02-vector-search/lessons/09-onnx-embedder.md,"Can I use different embedding models with the same code, and which ones are mentioned as options?"
02-vector-search/lessons/10-next-steps.md,"What does this module say embeddings do for text, and why are they useful for search?"
02-vector-search/lessons/10-next-steps.md,How do you get FAQ embeddings and use them in a vector search setup with the tools from this module?
02-vector-search/lessons/10-next-steps.md,Why does the lesson recommend starting with plain text search before adding vectors to a RAG system?
02-vector-search/lessons/10-next-steps.md,"When should you move from text search to vector search, and when is it worth combining both?"
02-vector-search/lessons/10-next-steps.md,"What are hybrid search and reranking, and how can they improve retrieval results?"
03-orchestration/lessons/01-intro.md,How can AI help speed up workflow creation in Kestra?
03-orchestration/lessons/01-intro.md,What does this lesson mean by grounding AI answers in real data?
03-orchestration/lessons/01-intro.md,What are the main AI techniques covered in this module?
03-orchestration/lessons/01-intro.md,Why is context so important when using AI in workflows?
03-orchestration/lessons/01-intro.md,How is AI inside Kestra different from using a normal chatbot in the browser?
03-orchestration/lessons/02-context-engineering.md,What goes wrong if I ask ChatGPT to build a Kestra flow without giving it any extra background?
03-orchestration/lessons/02-context-engineering.md,Why can an AI model produce code with old plugin names or made-up properties?
03-orchestration/lessons/02-context-engineering.md,What kind of prompt is used in the lesson to test ChatGPT on a NYC taxi data pipeline?
03-orchestration/lessons/02-context-engineering.md,How does having the right context change the quality of AI-generated code for workflows?
03-orchestration/lessons/02-context-engineering.md,"Why do LLMs miss recent software changes, new APIs, or company-specific setup details?"
03-orchestration/lessons/03-setup.md,What do I need installed before I can run the Kestra examples locally?
03-orchestration/lessons/03-setup.md,How do I start and stop Kestra with the provided Docker Compose setup?
03-orchestration/lessons/03-setup.md,"Which API keys are needed for the flows, and what steps do I use to create them?"
03-orchestration/lessons/03-setup.md,"How should I store the API keys so Kestra can read them, and how do I reference them in a flow?"
03-orchestration/lessons/03-setup.md,How do I import the sample flows into Kestra and run the first agent example?
03-orchestration/lessons/04-ai-copilot.md,How does the AI Copilot make it easier to build a Kestra flow compared with doing everything by hand?
03-orchestration/lessons/04-ai-copilot.md,"What do I need to set up before I can use the AI Copilot in Kestra, and which AI provider does the free edition support?"
03-orchestration/lessons/04-ai-copilot.md,What kind of prompt can I give the Copilot if I want it to build a flow for moving NYC taxi data from a CSV file into BigQuery?
03-orchestration/lessons/04-ai-copilot.md,What does the lesson mean by the idea that Copilot covers the main work and I only need to adjust the last bit myself?
03-orchestration/lessons/04-ai-copilot.md,"If I keep talking to Copilot about the same flow, can it add things like checks, schedules, or failure notifications without rebuilding everything?"
03-orchestration/lessons/05-rag.md,"What does retrieval augmented generation actually do, and how does it help prevent the model from making things up?"
03-orchestration/lessons/05-rag.md,"How does the RAG flow work in Kestra, from getting the source documents to producing the final answer?"
03-orchestration/lessons/05-rag.md,"Why would you use a KV store for the demo, and when should you switch to a real vector database instead?"
03-orchestration/lessons/05-rag.md,What is the difference between asking the model without RAG and asking it with the Kestra release notes loaded in?
03-orchestration/lessons/05-rag.md,When should I use web search as the retriever instead of relying on documents I already ingested?
03-orchestration/lessons/06-agents.md,How does the built-in agent loop in Kestra compare with writing the loop yourself with a while loop and tool calls?
03-orchestration/lessons/06-agents.md,When should I use an AI agent instead of a normal workflow in Kestra?
03-orchestration/lessons/06-agents.md,"What parts make up an AI agent setup in Kestra, like the prompt, system message, tools, provider, and memory?"
03-orchestration/lessons/06-agents.md,"What can the simple agent example do, and what does it show about chaining tasks and tracking token use?"
03-orchestration/lessons/06-agents.md,"What tools can Kestra agents use, and how can I turn on logs for requests and responses?"
03-orchestration/lessons/07-multi-agent.md,Why would I split a complex task across multiple agents instead of using just one?
03-orchestration/lessons/07-multi-agent.md,"In the company research example, what does the research agent do versus the main analyst agent?"
03-orchestration/lessons/07-multi-agent.md,How does the main agent use another agent as a tool in this workflow?
03-orchestration/lessons/07-multi-agent.md,What are the main steps from entering a company name to getting the final report?
03-orchestration/lessons/07-multi-agent.md,What should I watch out for when building a system with several agents?
03-orchestration/lessons/08-best-practices.md,"When should I use AI Copilot instead of RAG, agents, or regular workflows?"
03-orchestration/lessons/08-best-practices.md,"What’s the cheapest model choice for most AI workflows, and when would I switch to a stronger one?"
03-orchestration/lessons/08-best-practices.md,How should I store Gemini API keys so they don’t get committed to Git?
03-orchestration/lessons/08-best-practices.md,What logging settings help when I need to debug an AI agent flow?
03-orchestration/lessons/08-best-practices.md,What should I do before putting an AI workflow into production?
03-orchestration/lessons/09-next-steps.md,Why does this module say context engineering is so important for AI assistants?
03-orchestration/lessons/09-next-steps.md,What kinds of things can Kestra’s AI Copilot do when you describe a workflow’s inputs and goal?
03-orchestration/lessons/09-next-steps.md,"How is a RAG workflow different from a normal AI response, and when would you use it?"
03-orchestration/lessons/09-next-steps.md,What makes an AI agent different from a fixed workflow in Kestra?
03-orchestration/lessons/09-next-steps.md,What should I try next after this lesson if I want to keep learning and building with Kestra AI?
04-evaluation/lessons/01-intro.md,Why do we need evaluation instead of just trying a few search queries by hand?
04-evaluation/lessons/01-intro.md,How do you set up a test set for search and RAG when you already know the correct answer?
04-evaluation/lessons/01-intro.md,What does the A to Q-star to A-prime workflow mean in this lesson?
04-evaluation/lessons/01-intro.md,What’s the difference between offline evaluation and online evaluation for these systems?
04-evaluation/lessons/01-intro.md,"Which metrics or checks are used for search, RAG, and agent evaluation in this module?"
04-evaluation/lessons/02-ground-truth.md,"Why do we need ground truth data when testing search, and what does it usually contain?"
04-evaluation/lessons/02-ground-truth.md,"What are the main ways to build a labeled query set for search evaluation, and why do we use synthetic questions here?"
04-evaluation/lessons/02-ground-truth.md,"Why does the lesson keep a stable document ID, and how is that ID used later in evaluation?"
04-evaluation/lessons/02-ground-truth.md,How do structured outputs help when asking an LLM to create questions from a FAQ entry?
04-evaluation/lessons/02-ground-truth.md,"What does the code-generated ground truth record look like, and which fields does it store?"
04-evaluation/lessons/03-ground-truth-batch.md,How do you generate ground truth questions for every FAQ document instead of just one?
04-evaluation/lessons/03-ground-truth-batch.md,What does the retry wrapper do when an LLM request fails during ground truth generation?
04-evaluation/lessons/03-ground-truth-batch.md,Why does the lesson use ThreadPoolExecutor with several workers instead of processing documents one by one?
04-evaluation/lessons/03-ground-truth-batch.md,How do you turn the generated questions and document IDs into a CSV file for later evaluation?
04-evaluation/lessons/03-ground-truth-batch.md,How can you estimate the total token cost for generating all of the ground truth records?
04-evaluation/lessons/04-search-evaluation.md,How do you test whether your search is finding the right document for each ground-truth question?
04-evaluation/lessons/04-search-evaluation.md,Why is the search wrapped in a separate function instead of calling the index directly everywhere?
04-evaluation/lessons/04-search-evaluation.md,"What does the relevance list mean in this lesson, and how is it built from the search results?"
04-evaluation/lessons/04-search-evaluation.md,How can you evaluate the same set of questions with different retrieval methods like text search or vector search?
04-evaluation/lessons/04-search-evaluation.md,Why do you only need the retrieval part of the RAG pipeline for this evaluation and not the LLM?
04-evaluation/lessons/05-search-metrics.md,How do you measure search success if you only care whether the right document shows up anywhere in the top results?
04-evaluation/lessons/05-search-metrics.md,What does mean reciprocal rank tell you that a simple hit rate does not?
04-evaluation/lessons/05-search-metrics.md,Why does the MRR calculation use the document’s rank plus one instead of the raw index?
04-evaluation/lessons/05-search-metrics.md,How would you combine hit rate and MRR into one evaluation step for a search function?
04-evaluation/lessons/05-search-metrics.md,"If the hit rate is high but the MRR is low, what does that usually mean about the ranking?"
04-evaluation/lessons/06-search-tuning.md,Why did the lesson say boosting the FAQ question field more can actually hurt search quality instead of helping it?
04-evaluation/lessons/06-search-tuning.md,How do you run a simple offline test to compare different boost values for text search?
04-evaluation/lessons/06-search-tuning.md,"What boost setting ended up working best when tuning question, answer, and section fields together?"
04-evaluation/lessons/06-search-tuning.md,Why does the lesson recommend using both hit rate and MRR when judging search results?
04-evaluation/lessons/06-search-tuning.md,What are the tradeoffs of increasing the number of returned results from 5 to 10 in search?
04-evaluation/lessons/11-evaluation-intro.md,How do you evaluate a RAG system beyond just checking whether search finds the right document?
04-evaluation/lessons/11-evaluation-intro.md,What parts of the full RAG pipeline can cause a bad final answer even if retrieval looks fine?
04-evaluation/lessons/11-evaluation-intro.md,"In agent evaluation, why do you need to look at the tool calls as well as the final response?"
04-evaluation/lessons/11-evaluation-intro.md,What does it mean to use another LLM as a judge when comparing answers?
04-evaluation/lessons/11-evaluation-intro.md,Why is the judge asked to explain its decision instead of only saying whether the answer is correct?
04-evaluation/lessons/12-rag-answers.md,How do you evaluate the whole RAG pipeline instead of just checking whether search returns the right document?
04-evaluation/lessons/12-rag-answers.md,"What are A, Q, and A' in the evaluation setup for RAG answers?"
04-evaluation/lessons/12-rag-answers.md,How do you load the ground truth questions and match them back to the original FAQ answers?
04-evaluation/lessons/12-rag-answers.md,"Why does the lesson use the RAGWithUsage class, and what extra thing does it track?"
04-evaluation/lessons/12-rag-answers.md,"How can you run RAG for all questions, save the outputs, and estimate the total cost?"
04-evaluation/lessons/13-llm-as-judge.md,How does an LLM judge decide whether a RAG answer is good enough compared with the FAQ answer?
04-evaluation/lessons/13-llm-as-judge.md,What are the three pieces of data used in the offline A->Q->A' evaluation?
04-evaluation/lessons/13-llm-as-judge.md,Why is exact word matching not the right way to score these answers?
04-evaluation/lessons/13-llm-as-judge.md,"What fields does the judge return, and what is each one used for?"
04-evaluation/lessons/13-llm-as-judge.md,"How do you check whether the judge itself is trustworthy, and what should you do with bad cases?"
04-evaluation/lessons/14-agent-evaluation.md,"How do you evaluate an agent answer against the FAQ, and what extra thing do you keep besides the final response?"
04-evaluation/lessons/14-agent-evaluation.md,What data do you need to load before running the agent evaluation on the ground truth questions?
04-evaluation/lessons/14-agent-evaluation.md,"How is the search tool for the agent set up, and what does the agent prompt tell it to do?"
04-evaluation/lessons/14-agent-evaluation.md,"What should a good search trajectory look like for this FAQ agent, and how many searches are usually enough?"
04-evaluation/lessons/14-agent-evaluation.md,"How does the judge score agent runs, and what are the two labels it returns for each record?"
04-evaluation/lessons/15-next-steps.md,"What are the three levels of evaluation covered in this module, and what does each one measure?"
04-evaluation/lessons/15-next-steps.md,"When should you re-run evaluation during development, and why does that matter?"
04-evaluation/lessons/15-next-steps.md,How do you go from synthetic evaluation data to real user data in practice?
04-evaluation/lessons/15-next-steps.md,"Which evaluation tools or frameworks are suggested for production RAG systems, and what do they help with?"
04-evaluation/lessons/15-next-steps.md,What are the main ways to monitor an AI system after it has been deployed?
05-monitoring/lessons/01-intro.md,"Why isn’t offline evaluation enough once the app is live, and what extra things do you need to measure?"
05-monitoring/lessons/01-intro.md,"What does monitoring mean in a RAG app, and what kind of metrics would you collect from real users?"
05-monitoring/lessons/01-intro.md,What pieces do you need to build a monitoring setup for a question-answering system?
05-monitoring/lessons/01-intro.md,How do you add monitoring without rebuilding the whole RAG pipeline from scratch?
05-monitoring/lessons/01-intro.md,"Is the same monitoring approach used for agents too, or only for RAG systems?"
05-monitoring/lessons/02-assistant-setup.md,What are the three steps in the course-question RAG flow used here?
05-monitoring/lessons/02-assistant-setup.md,"Which two helper files do you need for this assistant, and what does each one do?"
05-monitoring/lessons/02-assistant-setup.md,Why do you add python-dotenv to the project in this lesson?
05-monitoring/lessons/02-assistant-setup.md,How does assistant.py build the assistant before it answers a question?
05-monitoring/lessons/02-assistant-setup.md,"How do you run the script from the terminal, and why does the lesson suggest adding a Makefile target?"
05-monitoring/lessons/03-chat-app.md,How do you turn the assistant into a simple web app instead of using only the command line?
05-monitoring/lessons/03-chat-app.md,"What does the Streamlit app do in this lesson, and which main UI elements does it use?"
05-monitoring/lessons/03-chat-app.md,What command do you use to install Streamlit and start the app locally?
05-monitoring/lessons/03-chat-app.md,"Why does the lesson put the Streamlit run command into the Makefile, and what does the new target look like?"
05-monitoring/lessons/03-chat-app.md,"What kind of basic monitoring info is missing from the app at this point, and why is that a problem?"
05-monitoring/lessons/04-metrics.md,"How do you record an LLM call’s token counts, runtime, and cost in this app?"
05-monitoring/lessons/04-metrics.md,Why does the lesson use a dataclass for call data instead of a plain dict?
05-monitoring/lessons/04-metrics.md,How is the cost of a GPT-5.4-mini request calculated from the usage stats?
05-monitoring/lessons/04-metrics.md,Why does the RAG class get subclassed for tracking metrics instead of changing the whole pipeline?
05-monitoring/lessons/04-metrics.md,"How can the Streamlit app show the last request’s response time, tokens, and price after answering?"
05-monitoring/lessons/05-database.md,Why do we store every chat in PostgreSQL instead of keeping it only in memory?
05-monitoring/lessons/05-database.md,Why does the Postgres container need to share a Docker network with Grafana?
05-monitoring/lessons/05-database.md,"What columns does the conversations table store, and why is the timestamp saved with a time zone?"
05-monitoring/lessons/05-database.md,Why do we return the inserted row id when saving a conversation?
05-monitoring/lessons/05-database.md,How is the saved conversation hooked into both the command-line test run and the Streamlit app?
05-monitoring/lessons/06-querying.md,How do you read saved chat records back from the PostgreSQL database in this lesson?
05-monitoring/lessons/06-querying.md,Why does the lesson convert each SQL row into an LLMCallRecord object instead of using the raw tuple?
05-monitoring/lessons/06-querying.md,What columns does the query pull from the conversations table when getting recent records?
05-monitoring/lessons/06-querying.md,How does get_conversations make sure it returns the newest calls first?
05-monitoring/lessons/06-querying.md,What does the lesson suggest about ordering by timestamp versus ordering by id for performance?
05-monitoring/lessons/07-streamlit-dashboard.md,How does the lesson suggest showing basic usage and performance info without using Grafana yet?
05-monitoring/lessons/07-streamlit-dashboard.md,"What does the new stats object in the database helper keep track of, and how is it calculated?"
05-monitoring/lessons/07-streamlit-dashboard.md,"What goes into the Streamlit dashboard at the top of the page, and how are those values displayed?"
05-monitoring/lessons/07-streamlit-dashboard.md,Why does the dashboard pull the last 100 conversation records for charts instead of only the exact fields needed?
05-monitoring/lessons/07-streamlit-dashboard.md,How do you run the Streamlit dashboard if the default port is already taken?
05-monitoring/lessons/08-user-feedback.md,Why does the lesson say response time and token counts aren’t enough to tell if an answer was actually good?
05-monitoring/lessons/08-user-feedback.md,"What columns should the feedback table have, and why does it include a source field?"
05-monitoring/lessons/08-user-feedback.md,How do thumbs up and thumbs down map to the score stored in the database?
05-monitoring/lessons/08-user-feedback.md,Why do we need to keep the conversation ID in session state before the feedback buttons can save anything?
05-monitoring/lessons/08-user-feedback.md,What changes are needed in the app so users can rate an answer right after it’s generated?
05-monitoring/lessons/09-built-in-judge.md,"How does the built-in judge work during online monitoring, and how is that different from the offline evaluation setup?"
05-monitoring/lessons/09-built-in-judge.md,Why does the judge need an explanation field instead of only a relevance label?
05-monitoring/lessons/09-built-in-judge.md,"What structured model is used to have the judge return relevance, and what are the possible labels?"
05-monitoring/lessons/09-built-in-judge.md,How do you wire the judge into the app so it scores each answer and saves the result to the database?
05-monitoring/lessons/09-built-in-judge.md,"What practical cautions does the lesson give about using this judge in a real system, like latency, cost, and sampling?"
05-monitoring/lessons/10-feedback-dashboard.md,How do I add judge relevance results to the Streamlit dashboard?
05-monitoring/lessons/10-feedback-dashboard.md,What SQL do I use to count thumbs up and thumbs down from users?
05-monitoring/lessons/10-feedback-dashboard.md,Which new helper functions should be imported into `dashboard.py` for feedback metrics?
05-monitoring/lessons/10-feedback-dashboard.md,How is the judge feedback grouped in the database query?
05-monitoring/lessons/10-feedback-dashboard.md,Why do the feedback charts look empty at first in the dashboard?
05-monitoring/lessons/11-synthetic-data.md,How do you make fake conversation data for the dashboard instead of waiting for real users?
